id_fabricante;cnpj_fabricante;fabricante
Fab00239;11308834000185;VIDA BIOTECNOLOGIA S/A
Fab00240;05439635000103;ANTIBIOTICOS DO BRASIL LTDA
Fab00241;05106945000106;DENTSCARE LTDA
Fab00242;06879626000104;CINORD SUDESTE QUIMICA LTDA - EPP
Fab00243;69348936000104;ANADONA COMERCIO E CONFECCOES LTDA - EPP
Fab00244;17602891000159;ALLPLAN PRODUTOS ODONTOLOGICOS LTDA - ME
Fab00245;31258478000140;TECHNEW COMERCIO E INDUSTRIA LTDA
Fab00246;60409075044605;NESTLE BRASIL LTDA.
Fab00247;02543673000113;3R - INDUSTRIA E COMERCIO LTDA
Fab00248;00322352000163;DPCBRASIL INDUSTRIA E COMERCIO - EIRELI - EPP
Fab00249;52393246000174;CALU - INDUSTRIA, EXPORTACAO E IMPORTACAO DE EQUIPAMENTOS ODONTOLO
Fab00250;11957593000103;CLEAN MEDICAL COMERCIO DE EQUIPAMENTOS HOSPITALARES LTDA - EPP
Fab00251;10467576000117;PRIME CIRURGICA IMPORTACAO E EXPORTACAO E COMERCIO DE PRODUTOS ORT
Fab00252;61269320000136;ALCOOL SANTA CRUZ LTDA
Fab00253;01739415000144;PREVEN INDUSTRIA E COMERCIO DE PRODUTOS ODONTOLOGICOS EIRELI - EPP
Fab00254;58188194000180;GN INJECTA INDUSTRIA, COMERCIO DE MATERIAIS MEDICOS, CIRURGICOS, O
Fab00255;04356658000191;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA - ME
Fab00256;08049419000220;METALMS INDUSTRIAL BRASILEIRA DE METAIS LTDA
Fab00257;07707681000171;SOUZA & LEONARDI LTDA - ME
Fab00258;03426484000123;SALDANHA RODRIGUES LTDA
Fab00259;84704683000158;QUIMIDROL COMERCIO INDUSTRIA IMPORTACAO LTDA
Fab00260;88610555000104;INDUSTRIA FARMACEUTICA BASA LTDA
Fab00261;60412327000100;ALCON LABORATÓRIOS DO BRASIL LTDA
Fab00262;26898124000120;FARMANORTE COMERCIO E MANIPULACAO DE MEDICAMENTOS EIRELI
Fab00263;45992062000912;GERMED FARMACEUTICA LTDA
Fab00264;33349473000310;FARMOQUIMICA S A
Fab00265;75014167000100;NUNESFARMA DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS LTDA
Fab00266;04338716000154;INDUSTRIA FARMACEUTICA MELCON DO BRASIL S.A.
Fab00267;02685377000823;SANOFI-AVENTIS FARMACEUTICA LTDA
Fab00268;03560974000118;SCHERING-PLOUGH INDUSTRIA FARMACEUTICA LTDA
Fab00269;00331788004106;AIR LIQUIDE BRASIL LTDA
Fab00270;05706568000146;BAUSCH & LOMB INC.
Fab00271;13507989000176;GLAXOSMITHKLINE BRASIL LTDA
Fab00272;04532527000118;MYRALIS PHARMA EIRELI
Fab00273;45793403000173;ASTRA QUIMICA E FARMACEUTICA LTDA
Fab00274;78950011000120;HERBARIUM LABORATORIO BOTANICO LTDA
Fab00275;14336329000132;SOL-MILLENNIUM BRASIL IMPORTACAO E EXPORTACAO S.A.
Fab00276;56994502002779;NOVARTIS BIOCIENCIAS SA
Fab00277;46070868003699;LABORATORIOS PFIZER LTDA
Fab00278;60665981000703;UNIAO QUIMICA FARMACEUTICA NACIONAL S A
Fab00279;17440261000125;MYRALIS INDUSTRIA FARMACEUTICA LTDA
Fab00280;61068755000627;SANVAL COMERCIO E INDUSTRIA LTDA
Fab00281;09137657000170;J. C. W. SIQUEIRA FARMACIA
Fab00282;00029372000140;GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDI
Fab00283;33258401000103;INSTITUTO BIOCHIMICO INDUSTRIA FARMACEUTICA LTDA
Fab00284;61072393000133;WYETH INDUSTRIA FARMACEUTICA LTDA
Fab00285;15800545000150;ABBVIE FARMACEUTICA LTDA
Fab00286;56994502001535;NOVARTIS BIOCIENCIAS SA
Fab00287;54421953000152;ORTOCENTER APARELHOS ORTOPEDICOS LTDA - EPP
Fab00288;00677858000195;ARTE NATIVA PRODUTOS NATURAIS LTDA
