id_produto;codigo_br;descricao_catmat;generico;unidade_fornecimento;status_utilizacao
Pro00077;266706;BUDESONIDA, APRESENTAÇÃO:AEROSSOL NASAL, CONCENTRAÇÃO:32MCG/DOSE, CARACTERÍSTICAS ADICIONAIS:FRASCO COM VáLVULA DOSIFICADORA;NÃO;FRASCO 120,00 DOSES;Utilizado
Pro00078;266788;NISTATINA, DOSAGEM:25.000 UI/G, APRESENTAÇÃO:CREME VAGINAL;SIM;BISNAGA 60,00 G    ;Utilizado
Pro00079;266863;METRONIDAZOL, DOSAGEM:40 MG/ML, APRESENTAÇÃO:SUSPENSÃO ORAL;NÃO;FRASCO 100,00 ML   ;Utilizado
Pro00080;267107;FENITOÍNA SÓDICA, DOSAGEM:50 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL;NÃO;AMPOLA 5,00 ML     ;Utilizado
Pro00081;267140;AZITROMICINA, DOSAGEM:500 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00082;267151;CETOCONAZOL, DOSAGEM:200 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00083;267162;CLORETO DE POTÁSSIO, DOSAGEM:19,1%, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL;NÃO;AMPOLA 10,00 ML    ;Utilizado
Pro00084;267197;DIAZEPAM, DOSAGEM:10 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00085;267203;DIPIRONA SÓDICA, DOSAGEM:500 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00086;267205;DIPIRONA SÓDICA, DOSAGEM:500 MG/ML, APRESENTAÇÃO:SOLUÇÃO ORAL (GOTAS);SIM;FRASCO 10,00 ML    ;Utilizado
Pro00087;267208;ESTRIOL, DOSAGEM:1 MG/G, APRESENTAÇÃO:CREME VAGINAL;NÃO;BISNAGA 50,00 G    ;Utilizado
Pro00088;267281;ESCOPOLAMINA BUTILBROMETO, DOSAGEM:10 MG/ML, INDICAÇÃO:SOLUÇÃO ORAL;SIM;FRASCO 20,00 ML    ;Utilizado
Pro00089;267282;ESCOPOLAMINA BUTILBROMETO, DOSAGEM:20 MG/ML, INDICAÇÃO:SOLUÇÃO INJETÁVEL;SIM;AMPOLA 1,00 ML     ;Utilizado
Pro00090;267283;ESCOPOLAMINA BUTILBROMETO, DOSAGEM:10 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00091;267292;IMIPRAMINA, PRINCÍPIO ATIVO:CLORIDRATO, DOSAGEM:25 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00092;267310;METOCLOPRAMIDA CLORIDRATO, DOSAGEM:5 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL;NÃO;AMPOLA 2,00 ML     ;Utilizado
Pro00093;267311;METOCLOPRAMIDA CLORIDRATO, DOSAGEM:4 MG/ML, APRESENTAÇÃO:SOLUÇÃO ORAL;SIM;FRASCO 10,00 ML    ;Utilizado
Pro00094;267312;METOCLOPRAMIDA CLORIDRATO, DOSAGEM:10 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00095;267378;NISTATINA, DOSAGEM:100.000 UI/ML, APRESENTAÇÃO:SUSPENSÃO ORAL;SIM;FRASCO 50,00 ML    ;Utilizado
Pro00096;267501;ÁCIDO ACETILSALICÍLICO, DOSAGEM:500 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00097;267502;ÁCIDO ACETILSALICÍLICO, DOSAGEM:100 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00098;267503;ÁCIDO FÓLICO, DOSAGEM:5 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00099;267504;ÁCIDO VALPRÓICO, DOSAGEM:250 MG;NÃO;CÁPSULA            ;Utilizado
Pro00100;267506;ALBENDAZOL, DOSAGEM:400 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00101;267509;ALOPURINOL, DOSAGEM:300 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00102;267510;AMIODARONA, DOSAGEM:200 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00103;267511;AMINOFILINA, DOSAGEM:100 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00104;267512;AMITRIPTILINA CLORIDRATO, DOSAGEM:25 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00105;267516;ATENOLOL, DOSAGEM:25 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00106;267518;ATENOLOL, DOSAGEM:100 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00107;267522;CLOMIPRAMINA, DOSAGEM:25 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00108;267540;GLICOSE, CONCENTRAÇÃO:25%, INDICAÇÃO:SOLUÇÃO INJETÁVEL;NÃO;AMPOLA 10,00 ML    ;Utilizado
Pro00109;267541;GLICOSE, CONCENTRAÇÃO:50%, INDICAÇÃO:SOLUÇÃO INJETÁVEL;NÃO;AMPOLA 10,00 ML    ;Utilizado
Pro00110;267564;CARVEDILOL, DOSAGEM:12,5 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00111;267571;DILTIAZEM CLORIDRATO, DOSAGEM:90 MG, INDICAÇÃO:AÇÃO PROLONGADA;NÃO;CÁPSULA            ;Utilizado
Pro00112;267574;CLORETO DE SÓDIO, DOSAGEM:20%, USO:SOLUÇÃO INJETÁVEL;NÃO;AMPOLA 10,00 ML    ;Utilizado
Pro00113;267582;BECLOMETASONA DIPROPIONATO, APRESENTAÇÃO:SPRAY NASAL, DOSAGEM:50MCG/DOSE, CARACTERÍSTICAS ADICIONAIS:FRASCO DOSEADOR COM AERO;NÃO;FRASCO 200,00 DOSES;Utilizado
Pro00114;267590;BECLOMETASONA DIPROPIONATO, APRESENTAÇÃO:SPRAY NASAL, DOSAGEM:250MCG/DOSE, CARACTERÍSTICAS ADICIONAIS:FRASCO DOSEADOR COM AER;NÃO;FRASCO 200,00 DOSES;Utilizado
Pro00115;267613;CAPTOPRIL, CONCENTRAÇÃO:25 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00116;267618;CARBAMAZEPINA, DOSAGEM:200 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00117;267621;CARBONATO DE LÍTIO, DOSAGEM:300 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00118;267625;CEFALEXINA, DOSAGEM:500 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00119;267627;CIMETIDINA, DOSAGEM:200 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00120;267629;CINARIZINA, DOSAGEM:75 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00121;267632;CIPROFLOXACINO CLORIDRATO, DOSAGEM:500 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00122;267635;CLORPROMAZINA, DOSAGEM:25 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00123;267638;CLORPROMAZINA, DOSAGEM:100 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00124;267643;DEXAMETASONA, DOSAGEM:0,1%, APRESENTAÇÃO:CREME;SIM;BISNAGA 10,00 G    ;Utilizado
Pro00125;267645;DEXCLORFENIRAMINA MALEATO, DOSAGEM:2 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00126;267646;DEXCLORFENIRAMINA MALEATO, DOSAGEM:0,4 MG/ML, APRESENTAÇÃO:SOLUÇÃO ORAL;SIM;FRASCO 120,00 ML   ;Utilizado
Pro00127;267647;DIGOXINA, DOSAGEM:0,25 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00128;267650;ENALAPRIL MALEATO, DOSAGEM:5 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00129;267651;ENALAPRIL MALEATO, DOSAGEM:10 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00130;267652;ENALAPRIL MALEATO, DOSAGEM:20 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00131;267653;ESPIRONOLACTONA, DOSAGEM:25 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00132;267657;FENITOÍNA SÓDICA, DOSAGEM:100 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00133;267660;FENOBARBITAL SÓDICO, DOSAGEM:100 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00134;267661;FLUCONAZOL, DOSAGEM:100 MG;NÃO;CÁPSULA            ;Utilizado
Pro00135;267662;FLUCONAZOL, DOSAGEM:150 MG;NÃO;CÁPSULA            ;Utilizado
Pro00136;267669;HALOPERIDOL, DOSAGEM:5 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00137;267670;HALOPERIDOL, DOSAGEM:1 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00138;267671;GLIBENCLAMIDA, DOSAGEM:5 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00139;267674;HIDROCLOROTIAZIDA, DOSAGEM:25 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00140;267689;METILDOPA, DOSAGEM:250 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00141;267690;METFORMINA CLORIDRATO, DOSAGEM:500 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00142;267691;METFORMINA CLORIDRATO, DOSAGEM:850 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00143;267694;MEBENDAZOL, DOSAGEM:20 MG/ML, APRESENTAÇÃO:SUSPENSÃO ORAL;SIM;FRASCO 30,00 ML    ;Utilizado
Pro00144;267712;OMEPRAZOL, CONCENTRAÇÃO:20 MG;NÃO;CÁPSULA            ;Utilizado
Pro00145;267717;METRONIDAZOL, DOSAGEM:250 MG;SIM;COMPRIMIDO         ;Utilizado
Pro00146;267729;NIFEDIPINO, DOSAGEM:20 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00147;267735;RANITIDINA CLORIDRATO, DOSAGEM:25 MG/ML, TIPO:SOLUÇÃO INJETÁVEL;SIM;AMPOLA 2,00 ML     ;Utilizado
Pro00148;267736;RANITIDINA CLORIDRATO, DOSAGEM:150 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00149;267741;PREDNISONA, DOSAGEM:5 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00150;267743;PREDNISONA, DOSAGEM:20 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00151;267765;SULFADIAZINA, DOSAGEM:500 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00152;267768;PROMETAZINA CLORIDRATO, DOSAGEM:25 MG;NÃO;COMPRIMIDO         ;Utilizado
Pro00153;267769;PROMETAZINA CLORIDRATO, DOSAGEM:25 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL;NÃO;AMPOLA 2,00 ML     ;Utilizado
