id_instituicao;cnpj_instituicao;nome_instituicao;municipio_instituicao;uf
Ins00155;77816510000166;MUNICIPIO DE FRANCISCO BELTRAO;FRANCISCO BELTRAO;PR
Ins00156;46137410000180;MUNICIPIO DE BAURU;BAURU;SP
Ins00157;10588370000145;FUNDO MUNICIPAL DE SAUDE DE SAO PEDRO DO IVAI;SAO PEDRO DO IVAI;PR
Ins00158;92324706000127;MUNICIPIO DE ELDORADO DO SUL;ELDORADO DO SUL;RS
Ins00159;08549559000187;FUNDO MUNICIPAL DE SAUDE;SANTO INACIO;PR
Ins00160;11161074000126;FUNDO MUNICIPAL DE SAUDE;TERENOS;MS
Ins00161;11112312000103;FUNDO MUNICIPAL DE SAUDE DE IVINHEMA;IVINHEMA;MS
Ins00162;13070749000157;FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE MATARACA-PB;MATARACA;PB
Ins00163;02401609000106;MUNICIPIO DE SAO JULIAO - SECRETARIA DE SAUDE, SANEAMENTO E MEIO AMBIEN;SAO JULIAO;PI
Ins00164;09157931000172;FUNDO MUNICIPAL DE SAUDE;CAPANEMA;PR
Ins00165;08698105000178;FUNDO MUNICIPAL DE SAUDE SANTA CECILIA;SANTA CECILIA;PB
Ins00166;95725438000143;FUNDO MUNICIPAL DE SAUDE DE GUAIRA;GUAIRA;PR
Ins00167;07165026000139;FUNDO MUNICIPAL DE SAUDE;MACAPARANA;PE
Ins00168;11168783000133;FUNDO MUNICIPAL DE SAUDE DO CABO DE SANTO AGOSTINHO;CABO DE SANTO AGOSTINHO;PE
Ins00169;09256935000108;FUNDO MUNICIPAL DE SAUDE;MARECHAL CANDIDO RONDON;PR
Ins00170;44229805000187;MUNICIPIO DE CASSIA DOS COQUEIROS;CASSIA DOS COQUEIROS;SP
Ins00171;46482832000192;MUNICIPIO DE SAO SEBASTIAO;SAO SEBASTIAO;SP
Ins00172;11308894000106;FUNDO MUNICIPAL DE SAUDE;MACAE;RJ
Ins00173;19122075000173;FUNDO MUNICIPAL DE SAUDE DE JI-PARANA;JI-PARANA;RO
Ins00174;56901275000150;MUNICIPIO DE ARUJA;ARUJA;SP
Ins00175;76309806000128;MUNICIPIO DE CIANORTE;CIANORTE;PR
Ins00176;13660767000199;FUNDACAO MUNICIPAL DE SAUDE DE TUBARAO;TUBARAO;SC
Ins00177;76020460000143;MUNICIPIO DE ANTONIO OLINTO;ANTONIO OLINTO;PR
Ins00178;23179533000188;FUNDO MUNICIPAL DE SAUDE;ARRAIAL;PI
Ins00179;12044868000172;FUNDO MUNICIPAL DE SAUDE - PILOES-PB;PILOES;PB
Ins00180;02545932000145;MUNICIPIO DE ARRAIAL - SECRETARIA DE SAUDE E SANEAMENTO;ARRAIAL;PI
Ins00181;76247386000100;MUNICIPIO DE MARIA HELENA;MARIA HELENA;PR
Ins00182;08518587000137;FUNDO MUNICIPAL DE SAUDE - MUNICIPIO DE PARANAVAI;PARANAVAI;PR
Ins00183;11171199000137;FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE PILAR;PILAR;PB
Ins00184;45299104000187;MUNICIPIO DE BATATAIS;BATATAIS;SP
Ins00185;19876424000142;MUNICIPIO DE IPATINGA;IPATINGA;MG
Ins00186;11402806000122;FUNDO MUNICIPAL DE SAUDE;ALTA FLORESTA D'OESTE;RO
Ins00187;75732057000184;MUNICIPIO DE CAMBE;CAMBE;PR
Ins00188;10292209000120;MUNICIPIO DE SIRINHAEM;SIRINHAEM;PE
Ins00189;11420456000127;DONA INES - FUNDO MUNICIPAL DE SAUDE;DONA INES;PB
Ins00190;09253109000105;FUNDO MUNICIPAL DE SAUDE;CAMPO MOURAO;PR
